Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
218488_at,-49.704818939956276,7.082543261,6.566594557,-0.5159487039999995,9.803615261450524e-07,0.014938937851268744,EIF2B3,8891
205935_at,42.67046132112764,4.972806707,5.501503385,0.5286966780000002,1.8032395257732808e-06,0.014938937851268744,FOXF1,2294
233329_s_at,-22.448751143508304,6.136442292,5.430362593,-0.706079699,2.331626590921289e-05,0.03771948439559581,KRCC1,51315
218126_at,22.16419244069026,6.067917985,6.608546635,0.5406286499999995,2.452859983993474e-05,0.03771948439559581,RMDN3,55177
223157_at,19.796878031763736,7.958824132,8.466958326,0.5081341940000002,3.840721120417565e-05,0.03771948439559581,NOA1,84273
234040_at,-18.51189429425603,5.897854061,4.671827046,-1.2260270150000006,5.011248872307787e-05,0.03771948439559581,HELLS,3070
201963_at,22.819595151835365,5.849021136,6.533216019,0.684194883,2.1846398002701052e-05,0.03771948439559581,ACSL1,2180
220631_at,-18.40451680390041,5.783075595,5.358830917,-0.424244678,5.12807025361069e-05,0.03771948439559581,OSGEPL1,64172
212209_at,-24.134017524853288,6.498735892,6.311593272,-0.18714262000000037,1.748550396004514e-05,0.03771948439559581,MED13L,23389
201375_s_at,19.69967443560413,8.122120324,8.304472019,0.18235169499999948,3.9164360071366935e-05,0.03771948439559581,PPP2CB,5516
218628_at,-19.427822219807982,7.271361423,6.285519555,-0.9858418680000005,4.138305799482099e-05,0.03771948439559581,CCDC53,51019
56197_at,18.377768292421162,6.394024321,7.406042715,1.012018394,5.1576983468632794e-05,0.03771948439559581,PLSCR3 /// TMEM256-PLSCR3,57048 /// 100529211
233141_s_at,-23.03811442217006,4.967112635,3.925983349,-1.0411292860000003,2.1034300484344925e-05,0.03771948439559581,ST7L,54879
204224_s_at,24.78884702644666,6.787020147,8.09496914,1.3079489930000001,1.5719142278885247e-05,0.03771948439559581,GCH1,2643
221816_s_at,22.182226103702817,3.832218261,4.776515845,0.9442975839999996,2.4449467297573215e-05,0.03771948439559581,PHF11,51131
218340_s_at,-18.91470594298816,6.300659745,5.979493299,-0.3211664460000003,4.601540062790944e-05,0.03771948439559581,UBA6,55236
220009_at,18.308014907959414,4.664912969,5.403029582,0.7381166129999999,5.235971640404995e-05,0.03771948439559581,LONRF3,79836
203409_at,-20.84291301690708,6.636931311,5.155401936,-1.481529375,3.130993610517915e-05,0.03771948439559581,DDB2,1643
201696_at,-18.967595578495626,8.937478395,8.582021963,-0.35545643199999866,4.5508974692247695e-05,0.03771948439559581,SRSF4,6429
203499_at,21.2568964905685,3.999619529,4.849464576,0.8498450470000001,2.8958180627500322e-05,0.03771948439559581,EPHA2,1969
203701_s_at,18.72748303769277,5.476103327,5.985921712,0.509818385,4.786555029503522e-05,0.03771948439559581,TRMT1,55621
225044_at,22.14615742539118,8.96029837,9.157751764,0.19745339400000006,2.4608058324218406e-05,0.03771948439559581,NT5C3B,115024
219257_s_at,20.91317129325752,4.650879135,6.337881144,1.6870020089999995,3.089445812641997e-05,0.03771948439559581,SPHK1,8877
223441_at,17.947518558704193,6.092715303,6.488060273,0.39534497,5.664977917170038e-05,0.03778716689802822,SLC17A5,26503
213117_at,-16.23036642927986,6.828640307,6.519605131,-0.3090351760000001,8.431913751370292e-05,0.03778716689802822,KLHL9,55958
212603_at,-17.094754615055738,7.786766666,7.362682864,-0.4240838020000002,6.868416098567054e-05,0.03778716689802822,MRPS31,10240
211774_s_at,-16.157059919687093,5.864137124,5.464356124,-0.39978099999999994,8.584037208625569e-05,0.03778716689802822,MMACHC,25974
225327_at,16.461030943577203,5.762507869,6.531423592,0.7689157230000001,7.974672822326484e-05,0.03778716689802822,FAM214A,56204
205548_s_at,-16.795168260907506,7.285383915,7.036712377,-0.24867153799999997,7.365779862117967e-05,0.03778716689802822,BTG3,10950
201348_at,16.335191802394952,5.386314178,6.258833075,0.872518897,8.220175844437243e-05,0.03778716689802822,GPX3,2878
206833_s_at,16.757874917675725,4.703199688,7.559782337,2.856582649,7.430794876975619e-05,0.03778716689802822,ACYP2 /// LOC101927144,98 /// 101927144
226741_at,17.783512917397246,5.088697872,5.639370601,0.5506727290000004,5.874637449753364e-05,0.03778716689802822,SLC12A6,9990
226333_at,16.012439284528522,4.4011402,5.785673146,1.3845329459999993,8.894317756189874e-05,0.03778716689802822,IL6R,3570
230483_at,-16.736852302555487,6.600463849,5.985617517,-0.6148463319999999,7.467759956505863e-05,0.03778716689802822,,
227862_at,16.526129175690123,4.500459625,6.555165588,2.054705963,7.851258452861867e-05,0.03778716689802822,TRNP1,388610
203821_at,16.183466253447175,5.263309107,7.014903041,1.7515939339999997,8.528848297225485e-05,0.03778716689802822,HBEGF,1839
212296_at,-16.0708259894102,8.870512236,8.431587893,-0.43892434300000005,8.767394131558066e-05,0.03778716689802822,PSMD14,10213
209723_at,17.32755456526483,5.872488964,6.785664034,0.9131750699999994,6.51058535320317e-05,0.03778716689802822,SERPINB9,5272
203715_at,-16.19493102036833,7.064767394,6.536303021,-0.5284643730000003,8.505024843119256e-05,0.03778716689802822,TBCE,6905
233208_x_at,-14.595881910381046,6.113695673,5.860986125,-0.25270954799999945,0.0001281622935514134,0.03860947348824307,CPSF2,53981
204233_s_at,14.731051949679943,5.497668253,6.094648741,0.5969804880000007,0.00012359204164121132,0.03860947348824307,CHKA,1119
205205_at,15.493574317711813,4.569397422,5.013111163,0.44371374099999983,0.0001012928652411749,0.03860947348824307,RELB,5971
219078_at,-15.513698351885653,5.756928388,5.060300058,-0.6966283300000002,0.00010077544941689924,0.03860947348824307,GPATCH2,55105
227554_at,-14.883708750917023,3.984723062,3.718920736,-0.2658023260000002,0.00011867206758911031,0.03860947348824307,MAGI2-AS3,100505881
