ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
1007_s_at,6.929877645,6.934233802,7.050713639,6.983891392,6.745656393,6.861550049
1053_at,7.846561048,7.925475822,7.935125449,7.920936959,7.975145264,8.086379321
121_at,5.079724688,5.28504041,5.579862547,5.17298212,5.286741491,5.412965612
1487_at,5.326030445,5.151703095,5.163195722,5.277777725,5.053821468,4.997059086
1552256_a_at,6.758002471,6.470287731,6.55578168,6.486619412,6.131834191,5.979811714
1552257_a_at,6.76083895,6.383254627,6.622491,6.807674893,6.640628729,6.657351217
1552263_at,4.213632941,4.565008683,4.188748125,4.435277238,4.137046633,4.35781038
1552264_a_at,5.969075487,5.927040935,6.122274412,5.594321601,5.65504904,5.884719918
1552274_at,5.116236607,5.325072645,5.210728271,4.415662193,4.872876003,4.962904851
1552275_s_at,5.565397257,5.614917227,5.490599151,5.307728342,5.394116262,5.23042602
1552277_a_at,6.564866322,6.547858616,6.43372795,6.538002942,6.452037348,6.42366776
1552278_a_at,4.327307607,4.031259847,4.306140394,4.18721505,3.878388312,3.690450135
1552279_a_at,4.996722266,4.878351385,5.09929683,4.893336689,4.851199465,4.921159543
1552286_at,4.768063597,4.924692067,4.623769608,4.790850126,4.830663193,4.635432121
1552287_s_at,4.296918913,4.179613559,4.32570137,5.006037081,4.651329836,4.743932468
1552288_at,4.192158103,4.335898739,4.003672042,4.680827654,4.453400972,3.975895338
1552289_a_at,5.412230762,5.531880489,5.296905819,5.924639813,5.708526146,5.309712586
1552291_at,3.990299254,3.590811867,3.876203912,3.886555546,4.047035068,3.584776826
1552295_a_at,4.736858513,4.834549147,4.71495954,4.833666973,4.851208821,4.840272791
1552310_at,5.881952661,6.091803734,5.696861274,6.391862231,6.537499067,6.302707997
1552311_a_at,4.601127168,4.664907629,4.825752965,4.470873302,4.944286859,4.608153454
1552312_a_at,4.812854606,5.239393068,5.128076734,4.636072819,5.219791826,5.147442071
1552330_at,5.206833563,5.533028833,5.145285447,5.487146339,5.774661611,5.785880791
1552332_at,4.979755921,4.984290035,5.168959891,4.930856995,4.999730002,5.077457358
1552347_at,4.776500844,4.833608558,4.946700602,5.170042192,5.03700235,5.125762154
1552360_a_at,4.303538913,4.281706143,4.036871516,3.795070134,4.164094561,4.074349524
1552370_at,5.720069902,5.87341782,5.576639839,6.33570631,5.980295892,5.896898592
1552378_s_at,5.03700235,5.09207295,4.867646768,4.854907296,4.736858513,4.85330297
1552381_at,3.626026606,3.988734513,3.911884413,4.246656101,4.453901381,4.30145572
1552383_at,4.159125076,4.048425772,4.475844091,4.000092222,3.922565517,3.885677371
1552390_a_at,5.277977373,5.217499108,5.342337075,5.336592423,5.30066143,5.099863725
1552395_at,4.609180172,4.950220516,4.902782085,4.335268541,4.673542894,4.927880487
1552400_a_at,5.659602378,5.284680636,5.468859515,5.984248301,5.671281986,5.541680675
1552417_a_at,4.281402867,4.530156506,4.332974348,5.313252132,4.92980805,4.854740167
