title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.tissue,characteristics_ch1.1.cell_line,characteristics_ch1.2.disease,characteristics_ch1.3.disease_stage,characteristics_ch1.4.p53_status,characteristics_ch1.5.treatment,characteristics_ch1.6.treatment_effect,characteristics_ch1.7.replicate,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,group
BT145 shHDAC1 Rep1,GSM5436464,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT145 GSC,Homo sapiens,9606,Brain tumor,BT145,GBM,IV,WT,shHDAC1,Knock-down,1,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT145shHDAC1Nequal1_S4_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166410,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407516",NONE,GSE179882,0,BT145_shHDAC1
BT145 shHDAC1 Rep2,GSM5436465,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT145 GSC,Homo sapiens,9606,Brain tumor,BT145,GBM,IV,WT,shHDAC1,Knock-down,2,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT145shHDAC1Nequal2_S5_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166409,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407517",NONE,GSE179882,0,BT145_shHDAC1
BT145 shHDAC1 Rep3,GSM5436466,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT145 GSC,Homo sapiens,9606,Brain tumor,BT145,GBM,IV,WT,shHDAC1,Knock-down,3,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT145shHDAC1Nequal3_S6_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166401,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407518",NONE,GSE179882,0,BT145_shHDAC1
BT145 shNT Rep1,GSM5436467,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT145 GSC,Homo sapiens,9606,Brain tumor,BT145,GBM,IV,WT,shNonTargeting,Control,1,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT145shNTNequal1_S1_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166408,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407519",NONE,GSE179882,0,BT145_shNT
BT145 shNT Rep2,GSM5436468,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT145 GSC,Homo sapiens,9606,Brain tumor,BT145,GBM,IV,WT,shNonTargeting,Control,2,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT145shNTNequal2_S2_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166407,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407520",NONE,GSE179882,0,BT145_shNT
BT145 shNT Rep3,GSM5436469,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT145 GSC,Homo sapiens,9606,Brain tumor,BT145,GBM,IV,WT,shNonTargeting,Control,3,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT145shNTNequal3_S3_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166406,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407521",NONE,GSE179882,0,BT145_shNT
BT187 shHDAC1 Rep1,GSM5436470,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT187 GSC,Homo sapiens,9606,Brain tumor,BT187,GBM,IV,mut/loss,shHDAC1,Knock-down,1,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT187shHDAC1Nequal1_S22_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166405,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407522",NONE,GSE179882,0,BT187_shHDAC1
BT187 shHDAC1 Rep2,GSM5436471,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT187 GSC,Homo sapiens,9606,Brain tumor,BT187,GBM,IV,mut/loss,shHDAC1,Knock-down,2,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT187shHDAC1Nequal2_S23_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166404,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407523",NONE,GSE179882,0,BT187_shHDAC1
BT187 shHDAC1 Rep3,GSM5436472,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT187 GSC,Homo sapiens,9606,Brain tumor,BT187,GBM,IV,mut/loss,shHDAC1,Knock-down,3,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT187shHDAC1Nequal3_S24_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166403,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407524",NONE,GSE179882,0,BT187_shHDAC1
BT187 shNT Rep1,GSM5436473,Public on Jul 14 2021,Jul 11 2021,Jul 14 2021,SRA,1,BT187 GSC,Homo sapiens,9606,Brain tumor,BT187,GBM,IV,mut/loss,shNonTargeting,Control,1,"GSCs, hNPCs and NHAs transduced with either shNT or shHDAC1 shRNAs at a MOI of 3 were selected with 2 _g/mL puromycin 72 hours post-transduction.","ihNPCs, hGSCs and mGSCs, were cultured as spheres on non- tissue culture-treated 10cm plates or as adherent cultures on laminin on tissue culture-treated 10cm plates (ThermoFisher Scientific). ihNPCs and hGSCs were grown in DMEM/F12 media, supplemented with B27 and N2 (Invitrogen, ThermoFisher Scientific) in the presence of 20 ng/ml epidermal growth factor (EGF) and basic fibroblast growth factor (bFGF) (MilliporeSigma). Primary Human Astrocytes (NHA; ScienCell) were grown in Astrocyte Media (5% FBS, Astrocyte Growth Supplement, 1% penn-strep) on Poly-L Lysine coated plates according to manufacturer recommendations.",polyA RNA,"72 hours post-selection, total RNA was extracted from cells using the PureLink RNA Mini Kit (Ambion) in accordance to the manufacturer̥s instructions.,RNA libraries were prepared for sequencing using standard Illumina protocols",BT187shNTNequal1_S19_L002,"Adapter trimming using cutadapt,Alignment using STAR,Counts tabulated using ht-seq-count,Genome_build: GRCh38 V2.7.1a,Supplementary_files_format_and_content: raw counts for all genes across all samples",GPL16791,"Christopher,L,Plaisier",plaisier@asu.edu,4809656832,SBHSE,Arizona State University,P.O. Box 879709,Tempe,Arizona,85287,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20166402,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11407525",NONE,GSE179882,0,BT187_shNT
